Date,Australian dollar   (AUD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
3-Jan-22,1.403316442,1.275972561,6.548405488,0.880669309,74.3115,126.2157927,0.3025,4.171,20.589,3.64,72.28549125,3.75,0.9121,3.6725,0.7862885518,1
4-Jan-22,1.386770212,1.2708,6.3751,0.886603422,74.5717,115.42,0.30265,4.1815,20.4742,3.64,72.28549125,3.75,0.9187,3.6725,0.740987737,1
5-Jan-22,1.382743363,1.2717,6.372,0.883470271,74.484,116.2,0.30265,4.1905,20.3977,3.64,72.28549125,3.75,0.9151,3.6725,0.738497895,1
6-Jan-22,1.393339836,1.2741,6.3742,0.883782589,74.4398,116.04,0.30265,4.202,20.4588,3.64,72.28549125,3.75,0.9178,3.6725,0.738716111,1
7-Jan-22,1.396258028,1.2666,6.3734,0.885112409,74.2939,115.89,0.30265,4.2025,20.4237,3.64,72.28549125,3.75,0.92215,3.6725,0.737952919,1
10-Jan-22,1.390240512,1.2679,6.3726,0.88354833,74.163,115.89,0.30255,4.2013,20.4453,3.64,75.1315,3.75,0.92195,3.6725,0.736187286,1
11-Jan-22,1.391594768,1.2606,6.3726,0.882145378,73.9319,115.32,0.30255,4.1928,20.3785,3.64,74.8355,3.75,0.9264,3.6725,0.736160188,1
12-Jan-22,1.385425326,1.251,6.3645,0.879507476,73.9968,115.33,0.3024,4.1825,20.366,3.64,74.5277,3.75,0.92355,3.6725,0.733433569,1
13-Jan-22,1.371553971,1.2484,6.3605,0.872371979,73.9348,114.66,0.30205,4.1795,20.3607,3.64,74.5686,3.75,0.91205,3.6725,0.72859745,1
14-Jan-22,1.373060552,1.2545,6.346,0.873591334,74.1157,114.0,0.30205,4.1785,20.3118,3.64,75.7668,3.75,0.9114,3.6725,0.728703636,1
18-Jan-22,1.389854065,1.2529,6.3504,0.879739597,74.4115,114.54,0.30225,4.1785,20.403,3.64,76.3347,3.75,0.915,3.6725,0.735240056,1
19-Jan-22,1.391207568,1.2492,6.3527,0.881445571,74.5955,114.7,0.30235,4.1925,20.46,3.64,76.8697,3.75,0.91605,3.6725,0.733621891,1
20-Jan-22,1.381597126,1.2474,6.3424,0.881989769,74.3618,114.28,0.30235,4.1855,20.4507,3.64,76.4408,3.75,0.91545,3.6725,0.734969866,1
21-Jan-22,1.390433815,1.2545,6.3411,0.881212548,74.5343,113.83,0.30235,4.1865,20.4598,3.64,76.6903,3.75,0.91315,3.6725,0.737599115,1
24-Jan-22,1.39275766,1.2656,6.3318,0.884642604,74.5788,113.83,0.30225,4.1835,20.6308,3.64,77.3649,3.75,0.9124,3.6725,0.741399763,1
25-Jan-22,1.40193467,1.2629,6.329,0.887468939,74.7025,113.98,0.30235,4.188,20.6683,3.64,78.6422,3.75,0.92015,3.6725,0.743715603,1
26-Jan-22,1.40193467,1.2606,6.3234,0.886760663,74.7025,113.81,0.30235,4.1905,20.6415,3.64,78.9437,3.75,0.9205,3.6725,0.740110276,1
27-Jan-22,1.4120305,1.2712,6.3612,0.896057348,75.1724,114.67,0.3027,4.203,20.7383,3.64,78.947,3.75,0.93065,3.6725,0.747049156,1
28-Jan-22,1.422879909,1.2772,6.3642,0.897827258,74.9513,115.44,0.3027,4.192,20.8597,3.64,77.8174,3.75,0.93185,3.6725,0.746881769,1
31-Jan-22,1.426330053,1.2719,6.3642,0.89637863,74.9674,115.43,0.303,4.189,20.8597,3.64,77.4702,3.75,0.93395,3.6725,0.746045956,1
1-Feb-22,1.415227852,1.2694,6.3642,0.888099467,74.5295,115.15,0.303,4.189,20.8597,3.64,77.1302,3.75,0.921,3.6725,0.741015191,1
2-Feb-22,1.401738155,1.2677,6.3642,0.883158174,74.8334,114.7,0.30255,4.189,20.6003,3.64,76.4849,3.75,0.91935,3.6725,0.737191301,1
3-Feb-22,1.404494382,1.2677,6.3642,0.886053518,74.857,114.45,0.30245,4.1815,20.5562,3.64,76.6501,3.75,0.9226,3.6725,0.735213028,1
4-Feb-22,1.398601399,1.2758,6.3642,0.872295883,74.7231,115.0,0.30245,4.1795,20.7325,3.64,76.0509,3.75,0.92275,3.6725,0.73670252,1
7-Feb-22,1.410039481,1.2688,6.3567,0.873591334,74.7231,115.23,0.3022,4.1858,20.7325,3.64,75.6806,3.75,0.9235,3.6725,0.740082889,1
8-Feb-22,1.404297149,1.2709,6.3711,0.87657784,74.69,115.29,0.3022,4.1865,20.7325,3.64,75.3042,3.75,0.9229,3.6725,0.738334318,1
9-Feb-22,1.39528394,1.268,6.3623,0.874508089,74.818,115.53,0.3022,4.185,20.5008,3.64,74.8015,3.75,0.9235,3.6725,0.736485491,1
10-Feb-22,1.393728223,1.2682,6.3576,0.87420229,74.9367,115.59,0.3023,4.185,20.4148,3.64,74.7241,3.75,0.92495,3.6725,0.736973985,1
11-Feb-22,1.404494382,1.2702,6.3614,0.875886835,75.3542,115.59,0.3023,4.1883,20.4148,3.64,74.9867,3.75,0.92725,3.6725,0.737300007,1
14-Feb-22,1.404889014,1.2738,6.3588,0.883704489,75.5533,115.4,0.30245,4.192,20.411,3.64,76.5762,3.75,0.92475,3.6725,0.739973361,1
15-Feb-22,1.403114915,1.2741,6.3516,0.881445571,75.6611,115.42,0.30255,4.1865,20.3992,3.64,76.166,3.75,0.9244,3.6725,0.738797976,1
16-Feb-22,1.397624039,1.2686,6.3357,0.879352796,75.0815,115.69,0.30255,4.189,20.3335,3.64,75.0141,3.75,0.92465,3.6725,0.737571913,1
17-Feb-22,1.39431121,1.2695,6.3346,0.879507476,75.0866,115.45,0.30245,4.185,20.2978,3.64,75.7527,3.75,0.92065,3.6725,0.734753857,1
18-Feb-22,1.387732445,1.2734,6.3276,0.880746873,74.9223,114.94,0.30245,4.1845,20.3063,3.64,75.7619,3.75,0.92065,3.6725,0.734241345,1
22-Feb-22,1.388503194,1.2743,6.3374,0.881678716,74.8804,114.7,0.30245,4.1845,20.2977,3.64,80.4194,3.75,0.91915,3.6725,0.737762367,1
23-Feb-22,1.382170007,1.2718,6.3219,0.881523272,74.6224,114.7,0.30245,4.1845,20.2435,3.64,80.4194,3.75,0.9196,3.6725,0.73602473,1
24-Feb-22,1.389274799,1.2832,6.3189,0.895816537,75.2578,114.94,0.3027,4.196,20.6525,3.64,86.9288,3.75,0.92335,3.6725,0.746547219,1
25-Feb-22,1.389274799,1.2747,6.3141,0.891583452,75.2842,115.54,0.3027,4.198,20.4465,3.64,83.5485,3.75,0.92655,3.6725,0.746965453,1
28-Feb-22,1.392369813,1.2698,6.3109,0.892936869,75.4882,115.55,0.3027,4.201,20.4257,3.64,93.5589,3.75,0.9217,3.6725,0.746575087,1
1-Mar-22,1.377410468,1.2708,6.3133,0.895896793,75.4882,115.25,0.3027,4.195,20.5272,3.64,91.7457,3.75,0.9173,3.6725,0.745767768,1
2-Mar-22,1.375705049,1.2668,6.3119,0.900414191,75.72,115.0,0.3031,4.192,20.7193,3.64,103.2487,3.75,0.9194,3.6725,0.749962502,1
3-Mar-22,1.369675387,1.2664,6.3194,0.902853016,75.7111,115.6,0.3032,4.1905,20.7033,3.64,111.7564,3.75,0.9205,3.6725,0.747971128,1
4-Mar-22,1.358880283,1.275,6.321,0.914996798,76.1246,115.38,0.3032,4.1853,20.9262,3.64,105.8124,3.75,0.9178,3.6725,0.752671986,1
7-Mar-22,1.347890551,1.2773,6.3187,0.917852226,76.9239,114.92,0.3038,4.179,21.1947,3.64,105.8124,3.75,0.9253,3.6725,0.759359101,1
8-Mar-22,1.368176221,1.2867,6.3173,0.918105031,76.8816,115.47,0.3039,4.1803,21.3775,3.64,105.8124,3.75,0.9258,3.6725,0.762282273,1
9-Mar-22,1.372683596,1.2821,6.3177,0.90966979,76.8567,115.87,0.3039,4.182,20.9677,3.64,116.0847,3.75,0.9282,3.6725,0.76057195,1
10-Mar-22,1.365933616,1.2776,6.3207,0.902201371,76.116,116.0,0.3035,4.184,20.9743,3.64,120.3785,3.75,0.92685,3.6725,0.759936165,1
11-Mar-22,1.363140676,1.272,6.3203,0.909918107,76.4359,116.3,0.3035,4.184,20.9695,3.64,116.7517,3.75,0.93165,3.6725,0.762834694,1
14-Mar-22,1.363140676,1.2777,6.3606,0.912408759,76.6086,117.58,0.30415,4.2055,20.8908,3.64,115.1963,3.75,0.93585,3.6725,0.767695378,1
15-Mar-22,1.391594768,1.2803,6.3802,0.90983532,76.4879,118.23,0.304,4.2078,20.8743,3.64,111.4823,3.75,0.93905,3.6725,0.765990042,1
16-Mar-22,1.387539892,1.2721,6.348,0.909587047,76.3482,118.39,0.304,4.1995,20.7035,3.64,108.0521,3.75,0.93995,3.6725,0.763825237,1
17-Mar-22,1.366493577,1.2651,6.3476,0.904895485,75.8935,118.97,0.30385,4.19,20.5585,3.64,104.8012,3.75,0.93985,3.6725,0.760138345,1
18-Mar-22,1.35501355,1.2617,6.3619,0.908430233,75.8935,118.68,0.30385,4.203,20.4145,3.64,103.9524,3.75,0.93565,3.6725,0.761643627,1
21-Mar-22,1.350621286,1.2593,6.3634,0.905961225,76.1347,118.68,0.30385,4.2,20.4145,3.64,104.6819,3.75,0.9307,3.6725,0.760861295,1
22-Mar-22,1.352447931,1.2588,6.3603,0.907111756,76.3807,120.0,0.3041,4.2135,20.2782,3.64,104.0741,3.75,0.9307,3.6725,0.756343834,1
23-Mar-22,1.340662287,1.2571,6.376,0.910332271,76.1872,121.19,0.3041,4.2195,20.18,3.64,103.1618,3.75,0.93485,3.6725,0.757346259,1
24-Mar-22,1.338150676,1.2545,6.3691,0.910912735,76.3403,121.24,0.3041,4.227,20.1313,3.64,96.0458,3.75,0.93085,3.6725,0.757432304,1
25-Mar-22,1.328727079,1.2502,6.3633,0.90892565,76.1781,121.82,0.3041,4.222,19.9577,3.64,95.6618,3.75,0.92635,3.6725,0.757776683,1
28-Mar-22,1.329080276,1.2541,6.3732,0.911909539,76.2569,122.22,0.30445,4.214,20.1195,3.64,93.7125,3.75,0.93505,3.6725,0.760080569,1
29-Mar-22,1.336541032,1.2509,6.3709,0.902119982,75.9731,124.2,0.30445,4.222,19.9942,3.64,86.2843,3.75,0.93585,3.6725,0.763562784,1
30-Mar-22,1.328550551,1.247,6.355,0.898795614,75.7678,122.5,0.3039,4.205,19.8632,3.64,84.0851,3.75,0.92615,3.6725,0.76115086,1
31-Mar-22,1.336541032,1.2496,6.3427,0.900819746,75.8071,122.4,0.3039,4.204,19.9112,3.64,83.4097,3.75,0.9251,3.6725,0.761875738,1
1-Apr-22,1.3374348,1.2512,6.3588,0.904813608,75.8071,122.2,0.3039,4.209,19.8432,3.64,83.4285,3.75,0.9241,3.6725,0.760977095,1
4-Apr-22,1.330849082,1.249,6.3588,0.908677874,75.8071,122.43,0.30415,4.2185,19.7443,3.64,83.5932,3.75,0.9241,3.6725,0.763562784,1
5-Apr-22,1.313197636,1.2451,6.3588,0.911660133,75.3899,122.55,0.3044,4.2175,19.9012,3.64,83.352,3.75,0.92595,3.6725,0.761672633,1
6-Apr-22,1.320655045,1.2509,6.3642,0.915499405,75.6016,124.0,0.3048,4.218,20.0665,3.64,83.352,3.75,0.93345,3.6725,0.764379897,1
7-Apr-22,1.336362421,1.2584,6.3626,0.916086479,75.8029,123.64,0.30465,4.2183,20.1605,3.64,76.2547,3.75,0.93325,3.6725,0.76499388,1
8-Apr-22,1.336362421,1.2584,6.3625,0.920725532,75.7811,124.0,0.30465,4.2205,20.12,3.64,74.8501,3.75,0.93465,3.6725,0.766753565,1
11-Apr-22,1.34264232,1.2621,6.3702,0.917431193,75.9627,125.0,0.30495,4.2268,20.0093,3.64,79.1596,3.75,0.93405,3.6725,0.766518473,1
12-Apr-22,1.345351809,1.2617,6.3689,0.920725532,76.1127,125.53,0.30495,4.233,19.8407,3.64,79.6274,3.75,0.93265,3.6725,0.768344218,1
13-Apr-22,1.342101731,1.2607,6.3653,0.923702198,76.2248,125.6,0.3051,4.2265,19.7967,3.64,79.8471,3.75,0.9336,3.6725,0.769023724,1
14-Apr-22,1.340842049,1.2601,6.369,0.919286634,76.2248,125.3,0.3048,4.2285,19.7967,3.64,81.288,3.75,0.93475,3.6725,0.761556622,1
15-Apr-22,1.340842049,1.2601,6.3727,0.919286634,76.2248,126.4,0.3048,4.2345,19.7967,3.64,80.0437,3.75,0.93475,3.6725,0.761556622,1
18-Apr-22,1.340842049,1.2618,6.3723,0.919286634,76.3737,126.64,0.30525,4.2483,19.9377,3.64,79.4529,3.75,0.93475,3.6725,0.761556622,1
19-Apr-22,1.356300014,1.2624,6.3771,0.925668796,76.2797,127.34,0.30555,4.2483,20.0447,3.64,79.0287,3.75,0.94865,3.6725,0.767606985,1
20-Apr-22,1.346619984,1.2502,6.4163,0.923361034,76.4183,129.4,0.30555,4.266,20.0383,3.64,77.0809,3.75,0.94745,3.6725,0.765784738,1
21-Apr-22,1.343363783,1.2529,6.4465,0.918526683,76.2091,128.28,0.30525,4.287,20.1802,3.64,74.999,3.75,0.94805,3.6725,0.765374459,1
22-Apr-22,1.363326517,1.2702,6.4736,0.924470741,76.3279,128.61,0.30525,4.3075,20.3183,3.64,73.505,3.75,0.955,3.6725,0.774683348,1
25-Apr-22,1.363326517,1.2758,6.5507,0.93057882,76.7366,128.78,0.30575,4.3475,20.3183,3.64,73.3611,3.75,0.95865,3.6725,0.786751111,1
26-Apr-22,1.385041551,1.2797,6.5543,0.936855912,76.5612,127.6,0.30575,4.348,20.356,3.64,72.7089,3.75,0.95795,3.6725,0.78647267,1
